,stat,times,lengths
0,46,0.0029916763305664062,225.42945998927829
1,52,0.004987955093383789,206.83689241111446
2,56,0.006981372833251953,233.8556421287272
3,48,0.003989219665527344,232.36769431267328
4,38,0.0019948482513427734,230.36475818373765
5,44,0.003989219665527344,251.11803479772902
6,84,0.01795196533203125,248.3667642029414
7,60,0.008982181549072266,223.6699428522847
8,104,0.03893566131591797,220.75559754999819
9,52,0.005939006805419922,204.30239707814982
10,66,0.009997129440307617,207.19988076366516
11,64,0.008951902389526367,229.95510232420312
12,72,0.011999130249023438,238.5642843145661
13,64,0.008986949920654297,224.898315052161
14,80,0.01595902442932129,229.99297825469966
15,50,0.004968166351318359,188.52863475635021
16,58,0.006955146789550781,206.39395455536948
17,76,0.013994455337524414,272.86530044798934
18,34,0.0019960403442382812,203.50167557355024
19,64,0.007946014404296875,209.0778816135633
20,76,0.013962745666503906,241.35791217714564
21,50,0.0049860477447509766,220.18870817578798
22,60,0.007027149200439453,195.2434528192409
23,72,0.011961221694946289,177.3905428844894
24,34,0.0019989013671875,216.7343915819131
25,52,0.004986763000488281,231.16922425770133
26,50,0.004989147186279297,227.8254949912513
27,50,0.0049397945404052734,191.65278527618668
28,80,0.014960050582885742,219.49997882419754
29,46,0.003989219665527344,212.30848817753903
30,42,0.0029921531677246094,220.5445367704479
31,70,0.010970354080200195,273.97793382073394
32,30,0.001995086669921875,204.09004470148483
33,36,0.001994609832763672,228.80963206970756
34,50,0.003989219665527344,228.11760707442906
35,36,0.001994609832763672,193.28176813079133
36,76,0.013962507247924805,269.6898633528533
37,66,0.009973526000976562,201.4102919943024
38,82,0.016954660415649414,211.5564726493827
39,32,0.000997304916381836,206.9823567682061
40,44,0.003989219665527344,212.81584187193573
41,42,0.0029921531677246094,213.86370656712214
42,72,0.010970592498779297,224.46406395244856
43,28,0.001994609832763672,193.8807221081597
44,38,0.001994609832763672,208.38829338259507
45,44,0.002991914749145508,209.87567762905573
46,34,0.0019948482513427734,185.577173301406
47,68,0.010970830917358398,256.55043146640946
48,62,0.007978439331054688,208.03629664551872
49,66,0.008975982666015625,216.80827305108974
50,42,0.0029921531677246094,194.89332025548086
51,58,0.0069811344146728516,222.08416912576317
52,58,0.006981372833251953,246.7569587264813
53,40,0.001994609832763672,211.10427132693212
54,52,0.004986763000488281,194.930898084163
55,46,0.0039904117584228516,225.78084220201623
56,52,0.005016803741455078,201.19585689092807
57,56,0.005953788757324219,219.33086680986767
58,40,0.0030236244201660156,221.81172212905898
59,94,0.023949146270751953,217.07341268881402
60,48,0.004942178726196289,194.76303678813105
61,72,0.011967897415161133,196.88584561734245
62,42,0.0020372867584228516,210.93268166681924
63,60,0.00793600082397461,197.51709086309552
64,46,0.0040209293365478516,245.12435765902632
65,44,0.0030062198638916016,228.15758213204376
66,84,0.01790618896484375,245.58235273546373
67,60,0.007978677749633789,217.97521845247144
68,60,0.0069811344146728516,203.7935670894184
69,64,0.008976221084594727,276.6662787715011
70,68,0.009973287582397461,227.99180926541015
71,24,0.000997304916381836,202.27670734466574
72,54,0.005984067916870117,242.6920901941963
73,76,0.013962745666503906,240.16059588743207
74,40,0.001994609832763672,227.14069985565735
75,100,0.02991962432861328,228.01146300190783
76,54,0.004986763000488281,215.79654514203844
77,72,0.011968135833740234,250.976122287549
78,62,0.007978677749633789,220.11432842709638
79,102,0.03091740608215332,205.7198353068832
80,44,0.003989219665527344,226.95662146955107
81,60,0.006981611251831055,199.27744720302758
82,64,0.008975744247436523,214.53417243764827
83,46,0.002991914749145508,220.14023227543714
84,90,0.021941423416137695,292.58797204135635
85,46,0.003991365432739258,220.28813549510866
86,28,0.0009953975677490234,187.6393943545366
87,54,0.005983829498291016,226.16325753668272
88,66,0.008974790573120117,231.59576467247666
89,42,0.0029921531677246094,221.7903367091561
90,32,0.0019943714141845703,206.2076871674963
91,40,0.0019948482513427734,210.0594222908462
92,40,0.0019948482513427734,210.52791489971725
93,56,0.005984067916870117,245.57294317797445
94,40,0.002991914749145508,198.19627626797555
95,50,0.00498652458190918,229.61126784205908
96,44,0.002992391586303711,207.66975965660683
97,52,0.004986286163330078,208.64970094492338
98,56,0.006981372833251953,221.1217973510233
99,50,0.003989458084106445,226.25443177079202
